date,特锐德,乐普医疗,安科生物,豆神教育,华测检测,亿纬锂能,爱尔眼科,网宿科技,机器人,红日药业,同花顺,数知科技,蓝色光标,东方财富,碧水源,三聚环保,当升科技,思创医惠,长信科技,高新兴,顺网科技,长盈精密,智飞生物,汇川技术,华策影视,信维通信,沃森生物,宋城演艺,汤臣倍健,东方国信,万达信息,华峰超纤,捷成股份,美亚柏科,欣旺达,易华录,北京君正,上海钢联,迪安诊断,光线传媒,卫宁健康,华宇软件,阳光电源,国瓷材料,博雅生物,利亚德,中际旭创,掌趣科技,晶盛机电,旋极信息,泰格医药,我武生物,绿盟科技,光环新网,三环集团,芒果超媒,昆仑万维,蓝思科技,先导智能,创业慧康,赢合科技,金科文化,迈克生物,景嘉微,胜宏科技,万孚生物,中科创达,温氏股份,健帆生物
2018-12-03,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0
2018-12-04,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20014.13,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,19921.2,20000.0,20000.0,20161.7,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20094.24,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,19010.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0
2018-12-05,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,19759.79,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,19527.200000000004,20000.0,20000.0,20115.5,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20718.58,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,19340.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0
2018-12-06,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,19364.15,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,18975.6,20000.0,20000.0,19422.5,20000.0,20000.0,20484.47,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20553.66,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,19743.05,20000.0,19560.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0
2018-12-07,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,19547.84,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,19093.800000000007,20000.0,20000.0,19422.5,20000.0,20000.0,20484.47,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20553.66,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,19743.05,20000.0,19147.5,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0
2018-12-10,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,19392.41,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,18936.2,20000.0,20000.0,19422.5,20000.0,20000.0,20484.47,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20553.66,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,19743.05,20000.0,18377.5,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0
2018-12-11,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,19618.49,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,19054.400000000005,20000.0,20000.0,19422.5,20000.0,20000.0,20484.47,20000.0,20000.0,20595.8,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20553.66,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,19743.05,20000.0,19120.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,19797.02,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0
2018-12-12,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,19773.92,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,19054.400000000005,20000.0,20000.0,19422.5,20000.0,20000.0,20484.47,20000.0,20000.0,20595.8,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20748.86,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,19743.05,20000.0,18542.5,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,19868.66,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0
2018-12-13,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,19759.79,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,19133.2,20000.0,20000.0,19422.5,20000.0,20000.0,20484.47,20000.0,20000.0,20606.07,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,21017.26,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,19743.05,20000.0,18542.5,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,19988.06,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0
2018-12-14,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,19505.45,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,18621.000000000004,20000.0,20000.0,19422.5,20000.0,20000.0,20484.47,20000.0,20000.0,20606.07,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20565.86,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,19743.05,20000.0,18047.5,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,18364.22,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0
